Year,Total boating fatalities and non-boating drownings,"Deaths per 100,000 population","Drownings
            (non-boating)",Boating fatalities,"Boating deaths per 100,000 boats",Non-fatal boating accidents
1945,167,5.87, , , , 
1946,159,5.48, , , , 
1947,168,5.74, , , , 
1948,139,4.71, , , , 
1949,153,5.15, , , , 
1950,125,4.19, , , , 
1951,123,4.03, , , , 
1952,108,3.48, , , , 
1953,146,4.63, , , , 
1954,111,3.50, , , , 
1955,123,3.84, , , , 
1956,87,2.68, , , , 
1957,123,3.73, , , , 
1958,130,3.88, , , , 
1959,138,4.06, , , , 
1960,132,3.87, , , , 
1961,135,3.89,78,57,27.00, 
1962,106,3.01,82,24,11.00, 
1963,108,3.05,75,33,16.00, 
1964,115,3.23,73,42,20.00, 
1965,105,2.92,68,37,17.20, 
1966,126,3.49,80,46,19.40, 
1967,120,3.28,64,56,22.20, 
1968,120,3.24,84,36,13.89, 
1969,149,3.97,92,57,21.00, 
1970,116,3.05,70,46,16.00,92
1971,108,2.79,76,32,11.00,109
1972,123,3.17,81,42,10.50,100
1973,134,3.44,81,53,13.00,90
1974,121,3.08,75,46,10.30,71
1975,111,2.83,55,56,12.30,99
1976,101,2.55,59,42,8.30,103
1977,84,2.11,52,32,6.08,106
1978,86,2.15,48,38,7.02,98
1979,93,2.33,68,25,4.43,78
1980,86,2.10,51,35,6.03,92
1981,85,2.08,59,26,4.38,91
1982,92,2.23,59,33,5.41,121
1983,80,1.93,56,24,3.85,107
1984,62,1.49,38,24,3.82,118
1985,56,1.34,31,25,3.87,160
1986,72,1.83,41,31,4.73,151
1987,66,1.58,48,18,2.67,156
1988,74,1.72,51,23,3.33,164
1989,58,1.35,42,16,2.27,190
1990,48,1.14,31,17,2.38,177
1991,55,1.29,38,17,2.35,170
1992,55,1.23,33,22,3.00,139
1993,48,1.06,30,18,2.47,118
1994,50,1.11,31,19,2.57,149
1995,56,1.20,36,20,2.67,138
1996,60,1.28,48,12,1.58,127
1997,54,1.16,33,21,2.73,162
1998,60,1.27,47,13,1.67,154
1999,74,1.55,52,22,2.77,143
2000,65,1.36,45,20,2.46,127
2001,69,1.39,53,16,1.93,129
2002,72,1.44,42,30,3.95,135
2003,49,0.97,32,17,2.01,94
2004,45,.90,30,15,1.76,73
2005,68,1.32,45,23,2.70,93
2006,63,1.22,49,14,1.62,102
2007,41,0.78,26,15,1.73,113
2008,43,0.83,33,12,1.38,77
2009,43,0.82,28,15,1.84,72
2010,46,0.87,34,12,1.47,74
2011,66,0.94,50,16,1.98,67
2012,55,1.02,40,15,1.83,72
2013,43,.80,30,13,1.61,65
2014,43,0.79,29,14,1.73,36
2015,53,0.97,35,18,2.23,71
Year,Total boating fatalities and non-boating drownings,"Deaths per 100,000 population","Drownings
            (non-boating)",Boating fatalities,"Boating deaths per 100,000 boats",Non-fatal boating accidents
